Model:,OLS,Adj. R-squared (uncentered):,0.099
Dependent Variable:,y,AIC:,13555.9760
Date:,2023-10-06 17:15,BIC:,13607.9486
No. Observations:,4898,Log-Likelihood:,-6770.0
Df Model:,8,F-statistic:,68.32
Df Residuals:,4890,Prob (F-statistic):,7.78e-107
R-squared (uncentered):,0.101,Scale:,0.93067
