,Columns,VIF
0,fixed acidity,1.3249665470488805
1,volatile acidity,1.2621931930018613
2,citric acid,1.1597652549579383
3,chlorides,1.1330997577346333
4,pH,1.227089793143407
5,sulphates,1.1144638739347037
6,fermentation,1.1555533927957569
7,sulfur dioxide,1.2157899395295149
